animal_id,mammal_genus,mammal_scientific_name,mammal_type ,mammal_group,plant_pub_name,endemic_widelydistributed,native_exotic,habit,updated_genus,updated_species,family,fruit_nature,fruit_type,fruit_colour,colour_nature,fruit_odour,no_of_seed_per_fruit,seed_number,arillate_notarillate,fruit_length_l,fruit_length_h,fruit_breadth_l,fruit_breadth_h,fruit_diameter_l,fruit_diameter_h,seed_length_l,seed_length_h,seed_breadth_l,seed_breadth_h,seed_diameter_l,seed_diameter_h,iucn_status_plant,location_country,Asia_zone,author_id
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Averrhoa carambola,Widely distributed,Exotic,Tree,Averrhoa,Averrhoa carambola,Oxalidaceae,Fleshy,Berry,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,7,13,5,8,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Cardiospermum halicacabum,Widely distributed,Native,Climber,Cardiospermum,Cardiospermum halicacabum,Sapindaceae,Dry,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,3,Two-Five,Not arillate,1.5,2,2,4,NA,NA,NA,NA,NA,NA,0.5,0.5,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Tamarindus indica,Widely distributed,Exotic,Tree,Tamarindus,Tamarindus indica,Fabaceae,Fleshy,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,10,Six-Ten,Not arillate,3,14,2,3,NA,NA,1.1,1.7,1,1.2,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Terminalia catappa,Widely distributed,Native,Tree,Terminalia ,Terminalia catappa,Combretaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,3,5.5,2,3.5,NA,NA,3,4,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Dioscorea sp,NA,NA,NA,Dioscorea,Dioscorea sp.,Dioscoreaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Leucaena leucocephala,Widely distributed,Exotic,Tree,Leucaena,Leucaena leucocephala,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,8,18,1.8,2.1,NA,NA,0.75,0.9,0.4,0.5,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Abutilon indicum,Widely distributed,Native,Shrub,Abutilon,Abutilon indicum,Malvaceae,Dry,Schizocarp,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Bombax malabaricum,Widely distributed,Native,Tree,Bombax,Bombax ceiba,Malvaceae,Dry,Capsule,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,8,10,3,3,NA,NA,0.6,0.6,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Artocarphus heterpphyllus,Endemic,Native,Tree,Artocarpus,Artocarpus heterophyllus,Moraceae,Fleshy,Sorosis,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,30,100,25,50,NA,NA,2,4,1.5,2.5,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Artocarphus lacucha,Widely distributed,Native,Tree,Artocarpus,Artocarpus lacucha,Moraceae,Fleshy,Syncarp,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,Many,> Twenty,Not arillate,5,9,5,12.5,NA,NA,1,1.2,0.99,1.18,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Streblus asper,Widely distributed,Native,Tree,Streblus,Streblus asper,Moraceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,1,One,Not arillate,NA,NA,NA,NA,0.6,0.8,NA,NA,NA,NA,0.4,0.5,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Eugenia jambos,Widely distributed,Exotic,Tree,Syzygium,Syzygium jambos,Myrtaceae,Fleshy,Drupe,White,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,2.5,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Psidum guava,Widely distributed,Exotic,Tree,Psidium,Psidium guajava,Myrtaceae,Fleshy,Berry,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,4,12,NA,NA,2,3,0.3,0.5,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Syzigium malaccens,Widely distributed,Exotic,Tree,Syzygium,Syzygium malaccense,Myrtaceae,Fleshy,Drupe,White,"Light (Brown, Green, Grey, White, Yellow)",present,3,Two-Five,Not arillate,2.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Phoenix sylvistris,Widely distributed,Native,Tree,Phoenix,Phoenix sylvestris,Arecaceae,Fleshy,Drupe,Orange,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,1.5,2.5,1.2,1.2,NA,NA,1.5,2,0.7,1,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Zizyphus maurituana,Widely distributed,Native,Tree,Ziziphus,Ziziphus mauritiana,Rhamnaceae,Fleshy,Drupe,Black,"Dark (Black, Blue, Purple, Violet)",present,2,Two-Five,Not arillate,1.5,3.5,1.5,2.5,1,1,0.6,0.7,0.5,0.6,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Nephelium longana,Widely distributed,Native,Tree,Dimocarpus,Dimocarpus longan,Sapindaceae,Fleshy,Berry,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,1,One,Not arillate,1,1.5,1,1,1.25,2.5,1.1,1.7,NA,NA,NA,NA,Near Threatened,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Acris sopeta,Widely distributed,Exotic,Tree,Manilkara,Manilkara zapota,Sapotaceae,Fleshy,Berry,Brown,"Light (Brown, Green, Grey, White, Yellow)",present,12,Eleven-Twenty,Not arillate,NA,NA,NA,NA,5,10,NA,NA,NA,NA,1.9,1.9,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Mimusup elengi,Widely distributed,Native,Tree,Mimusopa,Mimusops elengi,Sapotaceae,Fleshy,Drupe,Yellow,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,2.5,2.5,NA,NA,1.5,1.5,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Khatun et al 2011
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Phoenix dactylifera,Widely distributed,Exotic,Tree,Phoenix,Phoenix dactylifera,Arecaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,4,7,2,3,NA,NA,2.5,2.5,0.6,0.8,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Rahman et al 2015
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Albizia saman,Widely distributed,Exotic,Tree,Samanea,Samanea saman,Fabaceae,Dry,Pod,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,many,> Twenty,Not arillate,10,20,1.6,2,NA,NA,0.8,0.8,0.5,0.5,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Rahman et al 2015
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Ficus carica,Widely distributed,Exotic,Tree,Ficus,Ficus carica,Moraceae,Fig,Synconium,Brown,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,7,7,5,5,NA,NA,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Rahman et al 2015
Hanuman Langur,Semnopithecus,Semnopithecus entellus,Primates,Ceropithecidae,Eugenia javanica,Widely distributed,Exotic,Tree,Syzygium,Syzygium aqueum,Myrtaceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",present,1,One,Not arillate,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Rahman et al 2015
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Artocarpus chaplasha,Widely distributed,Native,Tree,Artocarpus,Artocarpus chama,Moraceae,Fleshy,Syncarp,Yellow,"Light (Brown, Green, Grey, White, Yellow)",present,many,> Twenty,Not arillate,NA,NA,NA,NA,8,10,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Feeroz 2011
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Ficus varriegata,Widely distributed,Native,Tree,Ficus,Ficus variegata,Moraceae,Fig,Synconium,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,6,6,NA,NA,2.5,3.5,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Feeroz 2011
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Areca catechu,Widely distributed,Exotic,Tree,Areca,Areca catechu,Arecaceae,Fleshy,Drupe,Orange,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,5,5,3.5,3.5,NA,NA,NA,NA,NA,NA,2,2,Not assessed,Bangladesh,Indian subcontinent,Jaman & Huffman 2013
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Musa sp,NA,NA,NA,Musa,Musa sp.,Musaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,Indian subcontinent,Jaman & Huffman 2013
Rhesus Macaque,Macaca,Macaca mulatta,Primates,Macaque,Cocos nucifera,Widely distributed,Exotic,Tree,Cocos,Cocos nucifera,Arecaceae,Fleshy,Drupe,Brown,"Light (Brown, Green, Grey, White, Yellow)",absent,1,One,Not arillate,25,25,20,20,NA,NA,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Jaman & Huffman 2013
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Bursera serrata,Widely distributed,Native,Tree,Protium,Protium serratum,Burseraceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,3,Two-Five,Not arillate,2,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Islam & Feeroz 1992
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Carallia brachiata,Widely distributed,Native,Tree,Carallia,Carallia brachiata,Rhizophoraceae,Fleshy,Drupe,Red,"Bright (Red, Orange, Pink)",absent,1,One,Not arillate,0.5,0.5,0.5,0.5,0.5,0.6,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Islam & Feeroz 1992
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Cordia sp,NA,NA,NA,Cordia ,Cordia sp.,Boraginaceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bangladesh,Indian subcontinent,Islam & Feeroz 1992
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Dillenia pentagyna,Widely distributed,Native,Tree,Dillenia,Dillenia pentagyna,Dilleniaceae,Dry,Pseudocarp,Orange,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,1.5,1.5,1.3,1.3,NA,NA,0.5,0.5,0.35,0.35,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Islam & Feeroz 1992
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Ficus benjamina,Widely distributed,Native,Tree,Ficus,Ficus benjamina,Moraceae,Fig,Synconium,Orange,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,0.8,2,NA,NA,NA,NA,NA,NA,Least Concern,Bangladesh,Indian subcontinent,Islam & Feeroz 1992
Western Hoolock Gibbon,Hoolock,Hoolock hoolock,Primates,Hominidae,Ficus benghalensis,Widely distributed,Native,Tree,Ficus,Ficus benghalensis,Moraceae,Fig,Synconium,Red,"Bright (Red, Orange, Pink)",absent,many,> Twenty,Not arillate,NA,NA,NA,NA,1.5,2.5,NA,NA,NA,NA,NA,NA,Not assessed,Bangladesh,Indian subcontinent,Islam & Feeroz 1992
