"author_of_the_papers","year_of_publishing","paper_heading","mammal_species","mammal_group","country","BIOME_NAME","ECO_NAME","REALM","SHAPE_LENG","SHAPE_AREA","geometry"
"David et al 2011",2011,"FRUGIVORY BY BIRDS AND MAMMALS IN SRIHARIKOTA ISLAND, SOUTHERN INDIA","Golden Jackal","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
"David et al 2011",2011,"FRUGIVORY BY BIRDS AND MAMMALS IN SRIHARIKOTA ISLAND, SOUTHERN INDIA","Small indian civet","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
"David et al 2013",2013,"Dispersal of Calamus rotang (Linn) and its ecological implications in Sriharikota Island, Andhra Pradesh, South India","Bonnet macaque","Primate","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
"David et al 2013",2013,"Dispersal of Calamus rotang (Linn) and its ecological implications in Sriharikota Island, Andhra Pradesh, South India","Golden Jackal","Carnivore","India","Deserts & Xeric Shrublands","Godavari-Krishna mangroves","Indomalayan",16.5759477632,0.591342978906,c(80.20472222, 13.73305556)
"Davies et al 1988",1988,"Food selection by two South-east Asian colobine monkeys (Presbytis rubicunda and Presbytis melalophos) in relation to plant chemistry ","Black-crested sumatran langur","Primate","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.94954722, 5.87605556)
"Davies et al 1988",1988,"Food selection by two South-east Asian colobine monkeys (Presbytis rubicunda and Presbytis melalophos) in relation to plant chemistry ","Maroon leaf monkey","Primate","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.94954722, 5.87605556)
"De Guia et al 2020",2020,"Distribution and diet of the common palm civet (Paradoxurus philippinensis) in the Mt. Makiling Forest Reserve, Luzon Island, Philippines","Common palm civet","Carnivore","Philippines","Tropical & Subtropical Moist Broadleaf Forests","Luzon rain forests","Indomalayan",72.4011991617,8.00453937404,c(121.20214722, 14.13512222)
"Deb 2015",2015,"HABITAT EVALUATION AND STATUS OF WESTERN HOOLOCK GIBBON (HOOLOCK HOOLOCK HARLAN, 1834) IN SOME DISTRIBUTIONAL RANGES IN ASSAM AND MIZORAM","Western hoolock gibbon","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Mizoram-Manipur-Kachin rain forests","Indomalayan",43.9957941138,11.9993504067,c(92.573625, 23.55094167)
"Deb et al 2019",2019,"DISTRIBUTION OF WESTERN HOOLOCK GIBBONS AND NUTRITIONAL STATUS OF FOOD PLANTS IN CACHAR DISTRICT OF ASSAM, INDIA: REACHING OUT TO LOCAL COMMUNITIES FOR CONSERVATION","Western hoolock gibbon","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Mizoram-Manipur-Kachin rain forests","Indomalayan",43.9957941138,11.9993504067,c(92.69838611, 24.78506667)
"Dela et al 2007",2007,"Seasonal Food Use Strategies of Semnopithecus vetulus nestor, at Panadura and Piliyandala, Sri Lanka","Purple faced langur","Primate","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(79.907425, 6.71063610999999)
"Delu et al 2021",2021,"Seasonal food preferences and group activity pattern of Blackbuck Antilope cervicapra (L., 1758) (Mammalia: Cetartiodactyla: Bovidae) in a semi-arid region of western Haryana, India","Blackbuck","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(75.54659444, 29.41745833)
"Devy 2006",2006,"Effects of fragmentation on a keystone tree species in the rainforest of KalakadMundanthurai Tiger Reserve, India.","Indian spotted chevrotain","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(77.30946667, 8.68833889)
"Dhawale et al 2020",2020,"Changing ecologies, shifting behaviours: Behavioural responses of a rainforest primate, the lion-tailed macaque Macaca silenus, to a matrix of anthropogenic habitats in southern India","Lion-tailed macaque","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(76.95527222, 10.32756111)
"Dileep_2017",2017,"Population and foraging ecology of Nilgiri Langur (Trachypithecus johnii) in Ranni Divison of Pathanamthitta, Kerala","Nilgiri langur","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Malabar Coast moist forests","Indomalayan",34.7083807541,2.9502205383,c(76.78555556, 9.38656943999999)
"Dinnerstein & Wemmer 1988",1988,"FRUITS RHINOCEROS EAT: DISPERSAL OF TREWIA NUDIFLORA (EUPHORBIACEAE) IN LOWLAND NEPAL' ","Domestic buffalo","Herbivore","Nepal","Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands","Indomalayan",27.3418057436,3.15365750478,c(84.31353056, 27.51928611)
"Dinnerstein & Wemmer 1988",1988,"FRUITS RHINOCEROS EAT: DISPERSAL OF TREWIA NUDIFLORA (EUPHORBIACEAE) IN LOWLAND NEPAL' ","One-horned rhinoceros","Herbivore","Nepal","Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands","Indomalayan",27.3418057436,3.15365750478,c(84.31353056, 27.51928611)
"Donggul et al 2015",2015,"The FoodHabits andHabitatUse ofYellow-ThroatedMartens(Martesflavigula) by SnowTracking inKoreanTemperate Forest During theWinter","Yellow throated marten","Carnivore","Korea","Temperate Broadleaf & Mixed Forests","Central Korean deciduous forests","Palearctic",50.5326985562,10.6162971268,c(127.81726389, 36.51740278)
"Dookia & Jakher 2007",2007,"Food and feeding habit of Indian Gazelle (Gazella benetti), in the Thar Desert of Rajasthan","Chinkara","Herbivore","India","Deserts & Xeric Shrublands","Thar desert","Indomalayan",28.8467886878,21.7315314529,c(70.62168056, 27.46948889)
"Ehlers smith et al 2013",2013,"Home-Range Use and Activity Patterns of the Red Langur (Presbytis rubicunda) in Sabangau Tropical Peat-Swamp Forest, Central Kalimantan, Indonesian Borneo","Maroon leaf monkey","Primate","Indonesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo peat swamp forests","Indomalayan",77.5222762841,5.4619240451,c(113.91875, -2.28805556)
"Erinjery et al 2014",2014,"Food resources, distribution and seasonal variations in ranging in lion-tailed macaques, Macaca silenus in the Western Ghats, India","Lion-tailed macaque","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(76.70153333, 10.54223333)
"Fadkar et al 2021",2021,"Gazella arabica dareshurii: a remarkable relict population on Farur Island, Iran","Arabian Gazelle","Herbivore","Iran",NA,NA,NA,NA,NA,c(54.51085278, 26.29431389)
"Fahimi et al 2018",2018,"Evidence of seed germination in scats of the Asiatic Black Bear Ursus thibetanus in Iran (Mammalia: Carnivora)","Asiatic black bear","Carnivore","Iran","Deserts & Xeric Shrublands","South Iran Nubo-Sindian desert and semi-desert","Palearctic",105.36696993,32.1170659353,c(60.22030833, 26.23064167)
"Fan et al 2009",2009,"Gibbons under seasonal stress: the diet of the black crested gibbon (Nomascus concolor) on Mt. Wuliang, Central Yunnan, China","Black-crested gibbon","Primate","China","Tropical & Subtropical Moist Broadleaf Forests","Northern Indochina subtropical forests","Indomalayan",56.1992836576,38.1808175635,c(100.69069444, 24.34331944)
"Fan et al 2013",2013,"Seasonal variation of diet and time budget of Eastern hoolock gibbons (Hoolock leuconedys) living in a northern montane forest","Eastern hoolock Gibbon","Primate","China","Temperate Conifer Forests","Nujiang Langcang Gorge alpine conifer and mixed forests","Palearctic",47.9489080379,7.66883766447,c(98.81754167, 25.98246111)
"Fatima et al 2020",2020,"Sympatric mongoose species may opt for spatial adjustments to avoid feeding competition at Margalla Hills National Park Islamabad, Pakistan","Indian grey mongoose","Carnivore","Pakistan","Tropical & Subtropical Coniferous Forests","Himalayan subtropical pine forests","Indomalayan",142.221901344,7.17296853467,c(73.00510556, 33.74805833)
"Fatima et al 2020",2020,"Sympatric mongoose species may opt for spatial adjustments to avoid feeding competition at Margalla Hills National Park Islamabad, Pakistan","Small indian mongoose","Carnivore","Pakistan","Tropical & Subtropical Coniferous Forests","Himalayan subtropical pine forests","Indomalayan",142.221901344,7.17296853467,c(73.00510556, 33.74805833)
"Feeroz 2011",2011,"Resource Partitioning among the Sympatric Primate Species of West Bhanugach Forest Reserve of Bangladesh","Rhesus macaque","Primate","Bangladesh","Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests","Indomalayan",47.6092593332,22.6148787673,c(91.79777778, 24.34888889)
"Fredrikson et al 2006a",2006,"Frugivory in sun bears (Helarctos malayanus) is linked to El Niño-related fluctuations in fruiting phenology, East Kalimantan, Indonesia","Sunbear","Carnivore","Indonesia","Tropical & Subtropical Moist Broadleaf Forests","Sundaland heath forests","Indomalayan",80.4723771335,6.19497569012,c(116.83458056, -1.14746667)
"Fredrikson et al 2006b",2006,"Impacts of El Nin˜o related drought and forest fires on sun bear fruit resources in lowland dipterocarp forest of East Borneo","Sunbear","Carnivore","Indonesia","Tropical & Subtropical Moist Broadleaf Forests","Sundaland heath forests","Indomalayan",80.4723771335,6.19497569012,c(116.83458056, -1.14746667)
"Fung 2016",2016,"FEEDING ECOLOGY AND SEED DISPERSAL OF THE COMMON PALM CIVET PARADOXURUS HERMAPHRODITUS (PALLAS, 1777) (MAMMALIA: CARNIVORA: VIVERRIDAE) IN PULAU UBIN, SINGAPORE","Common palm civet","Carnivore","Singapore",NA,NA,NA,NA,NA,c(103.95773333, 1.41256667)
"Ganguly & Chauhan 2018",2018,"Dietary preference and feeding patterns of the urban Rhesus Macaque Macaca mulatta (Mammalia: Primates: Cercopithecidae) in Asola-Bhatti Wildlife Sanctuary in India","Rhesus macaque","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Upper Gangetic Plains moist deciduous forests","Indomalayan",24.6778177066,23.8953596754,c(77.26748333, 28.49411111)
"Ghadirian et al 2016",2016,"Diet of Asiatic black bear in its westernmost distribution range, southern Iran","Asiatic black bear","Carnivore","Iran","Deserts & Xeric Shrublands","South Iran Nubo-Sindian desert and semi-desert","Palearctic",105.36696993,32.1170659353,c(57.19086667, 27.44165)
"Gogoi & Das 2018",2018,"Diet and Feeding Behaviour of Rhesus Macaque at Navagraha Temple, Kamrup district of Assam","Rhesus macaque","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(91.76551944, 26.19096667)
"Goldstein & Richard 1989",1989,"Ecology of Rhesus Macaques r mulatta) in Northwest Pakistan","Rhesus macaque","Primate","Pakistan","Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests","Indomalayan",65.6044661364,5.34955234053,c(73.40697222, 34.052825)
"Goyal et al 1988",1988,"Role of Prosopis cineraria pods in the diet of two Indian desert antelopes","Blackbuck","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(73.11374444, 26.152925)
"Goyal et al 1988",1988,"Role of Prosopis cineraria pods in the diet of two Indian desert antelopes","Chinkara","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(73.11374444, 26.152925)
"Grueter et al 2009",2009,"Dietary Profile of Rhinopithecus bieti and Its Socioecological Implications","Black and Snub nosed Monkey","Primate","China","Temperate Conifer Forests","Nujiang Langcang Gorge alpine conifer and mixed forests","Palearctic",47.9489080379,7.66883766447,c(99.06958889, 28.32023056)
"Gupta 2011",2011,"Ecology of medium and small sized carnivores in sariska tiger reserve, Rajasthan, India","Golden Jackal","Carnivore","India","Tropical & Subtropical Dry Broadleaf Forests","Khathiar-Gir dry deciduous forests","Indomalayan",30.9183998667,23.7341991774,c(76.43891667, 27.31044167)
"Gurung 2022",2022,"Diet analysis of Barking Deer in Nagarjun Forest of Shivapuri Nagarjun National Park, Nepal","Indian barking deer","Herbivore","Nepal","Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests","Indomalayan",121.712300554,7.58235808345,c(85.38593333, 27.81292222)
"Habiba et al 2022",2022,"Feeding habits and habitat use of barking deer (Muntiacus vaginalis) in Himalayan foothills, Pakistan","Indian barking deer","Herbivore","Pakistan","Tropical & Subtropical Coniferous Forests","Himalayan subtropical pine forests","Indomalayan",142.221901344,7.17296853467,c(73.52554722, 33.80816111)
"Hambali 1979",1979,"The Dispersal of Taro by Common Palm Civets","Common palm civet","Carnivore","Indonesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(113.919775, -0.797158330000001)
"Hanya & Bernard 2012",2012,"Fallback Foods of Red Leaf Monkeys (Presbytis rubicunda) in Danum Valley, Borneo","Maroon leaf monkey","Primate","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.68921667, 4.96183889)
"Hanya et al 2014",2014,"Ecosystem Impacts of Folivory and Frugivory by Japanese Macaques in Two Temperate Forests in Yakushima","Japanese macaque","Primate","Japan","Tropical & Subtropical Moist Broadleaf Forests","Nansei Islands subtropical evergreen forests","Indomalayan",12.483463978,0.371414877599,c(130.51271389, 30.34459444)
"Harich 2017",2017,"Conflicts of human land-use and conservation areas: The case of Asian elephants in rubber-dominated landscapes of Southeast Asia","Elephant","Herbivore","Thailand","Tropical & Subtropical Moist Broadleaf Forests","Tenasserim-South Thailand semi-evergreen rain forests","Indomalayan",49.054118903,8.00931927635,c(99.47878889, 8.86322222)
"Harich et al 2016",2016,"Seed dispersal potential of Asian elephants","Elephant","Herbivore","Thailand","Tropical & Subtropical Moist Broadleaf Forests","Northern Indochina subtropical forests","Indomalayan",56.1992836576,38.1808175635,c(100.07598611, 20.36931389)
"Hasan et al 2018",2018,"GROUP SIZE, COMPOSITION AND CONSERVATION CHALLENGES OF CAPPED LANGUR (TRACHYPITHECUS PILEATUS) IN SATCHARI NATIONAL PARK, BANGLADESH","Capped langur","Primate","Bangladesh","Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests","Indomalayan",47.6092593332,22.6148787673,c(91.44458889, 24.12464444)
"Hashimoto et al 2003",2003,"Five-year study on the autumn food habits of the Asiatic black bear in relation to nut production","Asiatic black bear","Carnivore","Japan","Temperate Broadleaf & Mixed Forests","Taiheiyo montane deciduous forests","Palearctic",42.2937012175,4.20108993639,c(138.84865278, 35.61274444)
"Heydon & Bulloh 1997",1997,"Mousedeer Densities in a Tropical Rainforest: The Impact of Selective Logging","Greater Mousedeer","Herbivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.87802778, 4.95685556)
"Heydon & Bulloh 1997",1997,"Mousedeer Densities in a Tropical Rainforest: The Impact of Selective Logging","Javan Mousedeer","Herbivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.87802778, 4.95685556)
"Hirasawa et al 2006",2006,"Seasonal food habits of the Raccoon Dog at a Western suburb of Tokyo","Raccoon dog","Carnivore","Japan","Temperate Broadleaf & Mixed Forests","Taiheiyo evergreen forests","Palearctic",114.323182986,13.5533871008,c(139.25742778, 35.74211944)
"Hisano et al 2017",2017,"A Comparison of Visual and Genetic Techniques for Identifying Japanese Marten Scats - Enabling Diet Examination in Relation to Seasonal Food Availability in a Sub-alpine Area of Japan","Japanese marten","Carnivore","Japan","Temperate Conifer Forests","Honshu alpine conifer forests","Palearctic",25.7687773102,1.1844351743,c(138.32483611, 36.15254444)
"Hodgkinson et al 2003",2003,"Fruit Bats (Chiroptera: Pteropodidae) as Seed Dispersers and Pollinators in a Lowland Malaysian Rain Forest’","Civet sp","Carnivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Peninsular Malaysian rain forests","Indomalayan",74.5838730257,10.1775849222,c(102.13476667, 3.51208610999999)
"Home & Jhala 2009",2009,"Food habits of the Indian fox (Vulpes bengalensis) in Kutch, Gujarat, India","Indian Fox","Carnivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(68.82708889, 23.26086667)
"Home 2005",2005,"RESOURCE UTILIZATION BY INDIAN FOX (Vulpes bengalensis) IN KUTCH, GUJARAT.","Indian Fox","Carnivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(68.82708889, 23.26086667)
"Huang et al 2015",2015,"Dietary Adaptations of Assamese Macaques (Macaca assamensis) in Limestone Forests in Southwest China","Assamese macaque","Primate","China","Tropical & Subtropical Moist Broadleaf Forests","South China-Vietnam subtropical evergreen forests","Indomalayan",104.872158188,19.6000284653,c(106.96083611, 22.4679)
"Huang et al 2017",2017,"Effect of habitat fragmentation on ranging behavior of white-headed langurs in limestone forests in Southwest China","White-headed langur","Primate","China","Tropical & Subtropical Moist Broadleaf Forests","South China-Vietnam subtropical evergreen forests","Indomalayan",104.872158188,19.6000284653,c(107.36485, 22.37895)
"Huygens & Hayashi 2001",2001,"USE OF STONE PINE SEEDS AND OAK ACORNS BY ASIATIC BLACK BEARS IN CENTRAL JAPAN","Asiatic black bear","Carnivore","Japan","Temperate Broadleaf & Mixed Forests","Nihonkai montane deciduous forests","Palearctic",66.6260911924,8.50663209002,c(138.19503611, 36.648525)
"Huygens et al 2003",2003,"Diet and Feeding Habits of Asiatic Black Bears in the Northern Japanese Alps","Asiatic black bear","Carnivore","Japan","Temperate Conifer Forests","Honshu alpine conifer forests","Palearctic",25.7687773102,1.1844351743,c(137.92181944, 36.15439444)
"Hwang et al 2002",2002,"DIETS OF ASIATIC BLACK BEARS IN TAIWAN, WITH METHODOLOGICAL AND GEOGRAPHICAL COMPARISONS","Asiatic black bear","Carnivore","China","Tropical & Subtropical Moist Broadleaf Forests","Taiwan subtropical evergreen forests","Indomalayan",8.89266468016,2.95367484808,c(121.03351111, 23.44438889)
"Ickes & thomas 2003",2003,"Native, Wild Pigs (Sus serofa) at Pasoh and Their Impacts on the Plant Community","Wild pig","Herbivore","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Peninsular Malaysian rain forests","Indomalayan",74.5838730257,10.1775849222,c(102.29483056, 3.01450278)
"Islam & Feeroz 1992",1992,"Ecology of Hoolock Gibbon of Bangladesh","Western hoolock gibbon","Primate","Bangladesh","Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests","Indomalayan",47.6092593332,22.6148787673,c(92.13520278, 21.9027)
"Jadeja et al 2013",2013,"Antelope mating strategies facilitate invasion of grasslands by a woody weed","Blackbuck","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(72.02046111, 22.04394444)
"Jaman & Huffman 2013",2013,"The effect of urban and rural habitats and resource type on activity budgets of commensal rhesus macaques (Macaca mulatta) in Bangladesh","Rhesus macaque","Primate","Bangladesh","Tropical & Subtropical Moist Broadleaf Forests","Lower Gangetic Plains moist deciduous forests","Indomalayan",47.6092593332,22.6148787673,c(90.41523889, 23.80409167)
"Jayasekara et al 2007",2007,"IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA","Brown mongoose","Carnivore","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.41958889, 6.43603611)
"Jayasekara et al 2007",2007,"IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA","Golden palm civet","Carnivore","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.41958889, 6.43603611)
"Jayasekara et al 2007",2007,"IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA","Indian spotted chevrotain","Herbivore","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.41958889, 6.43603611)
"Jayasekara et al 2007",2007,"IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA","Slender loris","Primate","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.41958889, 6.43603611)
"Jayasekara et al 2007",2007,"IDENTIFYING DIURNAL AND NOCTURNAL FRUGIVORES IN THE TERRESTRIAL AND ARBOREAL LAYERS OF A TROPICAL RAIN FOREST IN SRI LANKA","Small indian civet","Carnivore","Sri Lanka","Tropical & Subtropical Moist Broadleaf Forests","Sri Lanka lowland rain forests","Indomalayan",9.50380098855,1.02250223581,c(80.41958889, 6.43603611)
"Jhala 1997",1997,"Seasonal effects on the nutritional ecology of blackbuck Antelope cervicapr","Blackbuck","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(72.02046111, 22.04394444)
"Jones 2009",2009,"Survey of the Four-horned Antelope in South India","Four-horned antelope","Herbivore","India","Deserts & Xeric Shrublands","Deccan thorn scrub forests","Indomalayan",55.5937841427,28.6472841235,c(79.10032778, 13.217175)
"Joshi et al 1997",1997,"SEASONAL AND HABITAT-RELATED DIETS OF SLOTH BEARS IN NEPAL","Sloth bear","Carnivore","Nepal","Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands","Indomalayan",27.3418057436,3.15365750478,c(84.31353056, 27.51928611)
"Joshi et al 2006",2006,"Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory","Bonnet macaque","Primate","India","Tropical & Subtropical Dry Broadleaf Forests","South Deccan Plateau dry deciduous forests","Indomalayan",18.0744103721,6.79462131066,c(77.59456389, 12.30493333)
"Joshi et al 2006",2006,"Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory","Brown palm civet","Carnivore","India","Tropical & Subtropical Dry Broadleaf Forests","South Deccan Plateau dry deciduous forests","Indomalayan",18.0744103721,6.79462131066,c(77.59456389, 12.30493333)
"Joshi et al 2006",2006,"Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory","Common palm civet","Carnivore","India","Tropical & Subtropical Dry Broadleaf Forests","South Deccan Plateau dry deciduous forests","Indomalayan",18.0744103721,6.79462131066,c(77.59456389, 12.30493333)
"Joshi et al 2006",2006,"Production of supernumerary plants from seed fragments in Garcinia gummi-gutta: evolutionary implications of mammalian frugivory","Hanuman langur","Primate","India","Tropical & Subtropical Dry Broadleaf Forests","South Deccan Plateau dry deciduous forests","Indomalayan",18.0744103721,6.79462131066,c(77.59456389, 12.30493333)
"Jothish 2013",2013,"Frugivory and seed dispersal of woody species by the Asian elephant (Elephas maximus) in a mid-elevation tropical evergreen forest in India","Elephant","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(76.42800278, 11.06942222)
"Justa et al 2019",2019,"Sharing from the Same Bowl: Resource Partitioning between Sympatric Macaque Species in the Western Himalaya, India","Assamese macaque","Primate","India","Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests","Indomalayan",65.6044661364,5.34955234053,c(80.33662778, 29.76581944)
"Justa et al 2019",2019,"Sharing from the Same Bowl: Resource Partitioning between Sympatric Macaque Species in the Western Himalaya, India","Rhesus macaque","Primate","India","Temperate Broadleaf & Mixed Forests","Western Himalayan broadleaf forests","Indomalayan",65.6044661364,5.34955234053,c(80.33662778, 29.76581944)
"K.A. Sayers 2008",2008,"OPTIMAL FORAGING ON THE ROOF OF THE WORLD: A FIELD STUDY OF HIMALAYAN LANGURS","Nepal grey langur","Primate","Nepal","Temperate Broadleaf & Mixed Forests","Eastern Himalayan broadleaf forests","Indomalayan",121.712300554,7.58235808345,c(85.51471667, 28.02887778)
"Kakati 2004",2004,"IMPACT OF FOREST FRAGMENTATION ON THE HOOLOCK GIBBON IN ASSAM, INDIA","Western hoolock gibbon","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(95.35575833, 27.48855278)
"Kalle et al 2012",2012,"Diet of Mongoose in Mudumalai Tiger reserve , Southern India","Mongoose sp","Carnivore","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats moist deciduous forests","Indomalayan",23.2135626313,1.95732797404,c(76.53452222, 11.56227778)
"Kanamori et al 2010",2010,"Feeding Ecology of Bornean Orangutans (Pongo pygmaeus morio) in Danum Valley, Sabah, Malaysia: A 3-Year Record Including Two Mast Fruitings","Bornean orangutan","Primate","Malayesia","Tropical & Subtropical Moist Broadleaf Forests","Borneo lowland rain forests","Indomalayan",167.919502175,34.6113693569,c(117.74722222, 5.02138889)
"Karimi et al 2018",2018,"Complementary endozoochorous seed dispersal by large mammals in the Golestan National Park, Iran","Wild pig","Herbivore","Iran","Temperate Conifer Forests","Elburz Range forest steppe","Palearctic",41.1186286901,6.39534265378,c(56.38242222, 37.54753889)
"Karthik et al 2009",2009,"Dispersal of Prosopis juliflora seeds in the feces of wildlife in the banni grassland of Kachchh Desert, Gujarat.","Golden Jackal","Carnivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(69.50228889, 23.70772222)
"Karthik et al 2009",2009,"Dispersal of Prosopis juliflora seeds in the feces of wildlife in the banni grassland of Kachchh Desert, Gujarat.","Wild pig","Herbivore","India","Deserts & Xeric Shrublands","Aravalli west thorn scrub forests","Indomalayan",121.583472918,44.7386078271,c(69.50228889, 23.70772222)
"Kavana et al 2015",2015,"Folivory as a Constraint on Social Behaviour of Langurs in South India","Hanuman langur","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(76.71050833, 10.49529444)
"Kavana et al 2015",2015,"Folivory as a Constraint on Social Behaviour of Langurs in South India","Nilgiri langur","Primate","India","Tropical & Subtropical Moist Broadleaf Forests","South Western Ghats montane rain forests","Indomalayan",12.5286599376,1.86477055909,c(76.71050833, 10.49529444)
"Khadka & Lamichaane 2020",2020,"Evidence of bhellar (Trewia nudiflora) seed dispersal by chital (Axis axis) in Chitwan National Park, Nepal","Spotted deer","Herbivore","Nepal","Tropical & Subtropical Grasslands, Savannas & Shrublands","Terai-Duar savanna and grasslands","Indomalayan",27.3418057436,3.15365750478,c(84.31353056, 27.51928611)
"Khan 2004",2004,"Effects of seed mass on seedling success in Artocarpus heterophyllus L., a tropical tree species of north-east India","Wild pig","Herbivore","India","Tropical & Subtropical Moist Broadleaf Forests","Brahmaputra Valley semi-evergreen forests","Indomalayan",17.6517448979,5.14101713833,c(94.10693333, 27.23570278)
