author_of_the_papers,year_of_publishing,paper_heading,study_duration_months,mammal_species,mammal_group,country,latitude ,longitude
Colon & Sugau 2012,2012,"Notes on the Diet of the Mala Notes on the Diet of the Malay Civet (Viverra tangalunga) and a tangalunga) and other Civets in Logged and Unlogged Lowland Dipterocarp Rain Forests in Sabah, Borneo",17,Civet sp,Carnivore,Malayesia,4.96179444 N,117.68921667 E
Conry 1981,1981,Habitat selection and use movements and home range of Malayan gaur (Bos gaurus hubbacki) in centr an gaur (Bos gaurus hubbacki) in central Pahang Mala ahang Malaysia ,NA,Gaur,Herbivore,Malayesia,3.56417222 N,103.09955833 E
Corlett 1998,1998,Frugivory and seed dispersal by vertebrates in the Oriental (Indomalayan) Region,NA,Asiatic black bear,Carnivore,Vertebrate of oriental region,NA,NA
Corlett 1998,1998,Frugivory and seed dispersal by vertebrates in the Oriental (Indomalayan) Region,NA,Sloth bear,Carnivore,Vertebrate of oriental region,NA,NA
Curran & Leighton 2000,2000,VERTEBRATE RESPONSES TO SPATIOTEMPORAL VARIATION IN SEED PRODUCTION OF MAST-FRUITING DIPTEROCARPACEAE,82,Bornean bearded pig,Herbivore,Indonesia,1.85909722 S,109.9719 E
Curran & Webb 2000,2000,EXPERIMENTAL TESTS OF THE SPATIOTEMPORAL SCALE OF SEED PREDATION IN MAST-FRUITING DIPTEROCARPACEAE,36,Bornean bearded pig,Herbivore,Indonesia,1.85909722 S,109.9719E
Das et al 2022,2022,Trunk picking from a truncating menu: Dry season forage selection by Asian elephant in a multi-use landscape,NA,Elephant,Herbivore,India,26.75635833 N,88.79748056 E
Dasgupta_et_al_2015,2015,Food Preference of Rehabilitated Asiatic Black Bear cubs in Lowland Tropical Forests of Northeast India,NA,Asiatic black bear,Carnivore,India,26.95354167 N,92.98934722 E
Dave 2010,2010,"Understanding conflicts and conservation of Indian wild ass around Little Rann of Kachchh, Gujarat, India",4,Wild Ass,Herbivore,India,23.13085 N,71.77745278 E
David et al 2009,2009,"The Common Indian Mongoose Herpestes edwardsii as seed disperser in Sriharikota Island, India.",,Indian grey mongoose,Carnivore,India,13.73305556 N,80.20472222 E
David et al 2010,2010,"Fruit-handling techniques of Rose-ringed Parakeets Psittacula krameri feeding on Alangium salviifolium (Linn.) fruits in Sriharikota Island, southern India",1,Bonnet macaque,Primate,India,13.73305556 N,80.20472222 E
David et al 2011,2011,"FRUGIVORY BY BIRDS AND MAMMALS IN SRIHARIKOTA ISLAND, SOUTHERN INDIA",36,Bonnet macaque,Primate,India,13.73305556 N,80.20472222 E
David et al 2011,2011,"FRUGIVORY BY BIRDS AND MAMMALS IN SRIHARIKOTA ISLAND, SOUTHERN INDIA",36,Golden Jackal,Carnivore,India,13.73305556 N,80.20472222 E
David et al 2011,2011,"FRUGIVORY BY BIRDS AND MAMMALS IN SRIHARIKOTA ISLAND, SOUTHERN INDIA",36,Small indian civet,Carnivore,India,13.73305556 N,80.20472222 E
David et al 2013,2013,"Dispersal of Calamus rotang (Linn) and its ecological implications in Sriharikota Island, Andhra Pradesh, South India",29,Bonnet macaque,Primate,India,13.73305556 N,80.20472222 E
David et al 2013,2013,"Dispersal of Calamus rotang (Linn) and its ecological implications in Sriharikota Island, Andhra Pradesh, South India",29,Golden Jackal,Carnivore,India,13.73305556 N,80.20472222 E
David et al 2015,2015,Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review,NA,Small indian civet,Carnivore,India,NA,NA
David et al 2015,2015,Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review,NA,Spotted deer,Herbivore,India,NA,NA
David et al 2015,2015,Frugivory and seed dispersal by birds and mammals in the coastal tropical dry evergreen forests of southern India: A review,NA,Wild pig,Herbivore,India,NA,NA
Davies et al 1988,1988,Food selection by two South-east Asian colobine monkeys (Presbytis rubicunda and Presbytis melalophos) in relation to plant chemistry ,12,Black-crested sumatran langur,Primate,Malayesia,5.87605556 N,117.94954722 E
Davies et al 1988,1988,Food selection by two South-east Asian colobine monkeys (Presbytis rubicunda and Presbytis melalophos) in relation to plant chemistry ,12,Maroon leaf monkey,Primate,Malayesia,5.87605556 N,117.94954722 E
De Guia et al 2020,2020,"Distribution and diet of the common palm civet (Paradoxurus philippinensis) in the Mt. Makiling Forest Reserve, Luzon Island, Philippines",1,Common palm civet,Carnivore,Philippines,14.13512222 N,121.20214722 E
Deb 2015,2015,"HABITAT EVALUATION AND STATUS OF WESTERN HOOLOCK GIBBON (HOOLOCK HOOLOCK HARLAN, 1834) IN SOME DISTRIBUTIONAL RANGES IN ASSAM AND MIZORAM",9,Western hoolock gibbon,Primate,India,23.55094167 N,92.573625 E
Deb et al 2019,2019,"DISTRIBUTION OF WESTERN HOOLOCK GIBBONS AND NUTRITIONAL STATUS OF FOOD PLANTS IN CACHAR DISTRICT OF ASSAM, INDIA: REACHING OUT TO LOCAL COMMUNITIES FOR CONSERVATION",11,Western hoolock gibbon,Primate,India,24.78506667 N,92.69838611 E
Dela et al 2007,2007,"Seasonal Food Use Strategies of Semnopithecus vetulus nestor, at Panadura and Piliyandala, Sri Lanka",32,Purple faced langur,Primate,Sri Lanka,6.71063611 N,79.907425 E
Delu et al 2021,2021,"Seasonal food preferences and group activity pattern of Blackbuck Antilope cervicapra (L., 1758) (Mammalia: Cetartiodactyla: Bovidae) in a semi-arid region of western Haryana, India",12,Blackbuck,Herbivore,India,29.41745833 N,75.54659444 E
Devy 2006,2006,"Effects of fragmentation on a keystone tree species in the rainforest of KalakadMundanthurai Tiger Reserve, India.",12,Indian spotted chevrotain,Herbivore,India,8.68833889 N,77.30946667 E
Dhawale et al 2020,2020,"Changing ecologies, shifting behaviours: Behavioural responses of a rainforest primate, the lion-tailed macaque Macaca silenus, to a matrix of anthropogenic habitats in southern India",4,Lion-tailed macaque,Primate,India,10.32756111 N,76.95527222 E
Dileep_2017,2017,"Population and foraging ecology of Nilgiri Langur (Trachypithecus johnii) in Ranni Divison of Pathanamthitta, Kerala",3,Nilgiri langur,Primate,India,9.38656944 N,76.78555556 E
Dinnerstein & Wemmer 1988,1988,FRUITS RHINOCEROS EAT: DISPERSAL OF TREWIA NUDIFLORA (EUPHORBIACEAE) IN LOWLAND NEPAL' ,NA,Domestic buffalo,Herbivore,Nepal,27.51928611 N,84.31353056 E
Dinnerstein & Wemmer 1988,1988,FRUITS RHINOCEROS EAT: DISPERSAL OF TREWIA NUDIFLORA (EUPHORBIACEAE) IN LOWLAND NEPAL' ,NA,One-horned rhinoceros,Herbivore,Nepal,27.51928611 N,84.31353056 E
Donggul et al 2015,2015,The FoodHabits andHabitatUse ofYellow-ThroatedMartens(Martesflavigula) by SnowTracking inKoreanTemperate Forest During theWinter,25,Yellow throated marten,Carnivore,Korea,36.51740278 N,127.81726389 E
Dookia & Jakher 2007,2007,"Food and feeding habit of Indian Gazelle (Gazella benetti), in the Thar Desert of Rajasthan",NA,Chinkara,Herbivore,India,27.46948889 N,70.62168056 E
Ehlers smith et al 2013,2013,"Home-Range Use and Activity Patterns of the Red Langur (Presbytis rubicunda) in Sabangau Tropical Peat-Swamp Forest, Central Kalimantan, Indonesian Borneo",12,Maroon leaf monkey,Primate,Indonesia,2.28805556 S,113.91875 E
Erinjery et al 2014,2014,"Food resources, distribution and seasonal variations in ranging in lion-tailed macaques, Macaca silenus in the Western Ghats, India",12,Lion-tailed macaque,Primate,India,10.54223333 N,76.70153333 E
Fadkar et al 2021,2021,"Gazella arabica dareshurii: a remarkable relict population on Farur Island, Iran",NA,Arabian Gazelle,Herbivore,Iran,26.29431389 N,54.51085278 E
Fahimi et al 2018,2018,Evidence of seed germination in scats of the Asiatic Black Bear Ursus thibetanus in Iran (Mammalia: Carnivora),NA,Asiatic black bear,Carnivore,Iran,26.23064167 N,60.22030833 E
Fan et al 2009,2009,"Gibbons under seasonal stress: the diet of the black crested gibbon (Nomascus concolor) on Mt. Wuliang, Central Yunnan, China",14,Black-crested gibbon,Primate,China,24.34331944 N,100.69069444 E
Fan et al 2013,2013,Seasonal variation of diet and time budget of Eastern hoolock gibbons (Hoolock leuconedys) living in a northern montane forest,13,Eastern hoolock Gibbon,Primate,China,25.98246111 N,98.81754167 E
Fatima et al 2020,2020,"Sympatric mongoose species may opt for spatial adjustments to avoid feeding competition at Margalla Hills National Park Islamabad, Pakistan",23,Indian grey mongoose,Carnivore,Pakistan,33.74805833 N,73.00510556 E
Fatima et al 2020,2020,"Sympatric mongoose species may opt for spatial adjustments to avoid feeding competition at Margalla Hills National Park Islamabad, Pakistan",23,Small indian mongoose,Carnivore,Pakistan,33.74805833 N,73.00510556 E
Feeroz 2011,2011,Resource Partitioning among the Sympatric Primate Species of West Bhanugach Forest Reserve of Bangladesh,16,Rhesus macaque,Primate,Bangladesh,24.34888889 N,91.79777778 E
Fredrikson et al 2006a,2006,"Frugivory in sun bears (Helarctos malayanus) is linked to El Niño-related fluctuations in fruiting phenology, East Kalimantan, Indonesia",57,Sunbear,Carnivore,Indonesia,1.14746667 S,116.83458056 E
Fredrikson et al 2006b,2006,Impacts of El Nin˜o related drought and forest fires on sun bear fruit resources in lowland dipterocarp forest of East Borneo,78,Sunbear,Carnivore,Indonesia,1.14746667 S,116.83458056 E
Fung 2016,2016,"FEEDING ECOLOGY AND SEED DISPERSAL OF THE COMMON PALM CIVET PARADOXURUS HERMAPHRODITUS (PALLAS, 1777) (MAMMALIA: CARNIVORA: VIVERRIDAE) IN PULAU UBIN, SINGAPORE",12,Common palm civet,Carnivore,Singapore,1.41256667 N,103.95773333 E
Ganguly & Chauhan 2018,2018,Dietary preference and feeding patterns of the urban Rhesus Macaque Macaca mulatta (Mammalia: Primates: Cercopithecidae) in Asola-Bhatti Wildlife Sanctuary in India,13,Rhesus macaque,Primate,India,28.49411111 N,77.26748333 E
Ghadirian et al 2016,2016,"Diet of Asiatic black bear in its westernmost distribution range, southern Iran",6,Asiatic black bear,Carnivore,Iran,27.44165 N,57.19086667 E
Gogoi & Das 2018,2018,"Diet and Feeding Behaviour of Rhesus Macaque at Navagraha Temple, Kamrup district of Assam",5,Rhesus macaque,Primate,India,26.19096667 N,91.76551944 E
Goldstein & Richard 1989,1989,Ecology of Rhesus Macaques r mulatta) in Northwest Pakistan,18,Rhesus macaque,Primate,Pakistan,34.052825 N,73.40697222 E
Gomper & Vanak 2006,2006,Vulpes bengalensis.,NA,Indian Fox,Carnivore,India,NA,NA
Goyal et al 1988,1988,Role of Prosopis cineraria pods in the diet of two Indian desert antelopes,NA,Blackbuck,Herbivore,India,26.152925 N,73.11374444 E
Goyal et al 1988,1988,Role of Prosopis cineraria pods in the diet of two Indian desert antelopes,NA,Chinkara,Herbivore,India,26.152925 N,73.11374444 E
Groves & Leslie 2011,2011,MAMMALIAN SPECIES 43(887):190-208 Rhinoceros sondaicus (Perissodactyla: Rhinocerotidae),NA,Javan Rhinoceros,Herbivore,Indonesia,NA,NA
Grueter et al 2009,2009,Dietary Profile of Rhinopithecus bieti and Its Socioecological Implications,20,Black and Snub nosed Monkey,Primate,China,28.32023056 N,99.06958889 E
Gupta 2011,2011,"Ecology of medium and small sized carnivores in sariska tiger reserve, Rajasthan, India",16,Golden Jackal,Carnivore,India,27.31044167 N,76.43891667 E
Gurung 2022,2022,"Diet analysis of Barking Deer in Nagarjun Forest of Shivapuri Nagarjun National Park, Nepal",1,Indian barking deer,Herbivore,Nepal,27.81292222 N,85.38593333 E
Habiba et al 2022,2022,"Feeding habits and habitat use of barking deer (Muntiacus vaginalis) in Himalayan foothills, Pakistan",27,Indian barking deer,Herbivore,Pakistan,33.80816111 N,73.52554722 E
Hambali 1979,1979,The Dispersal of Taro by Common Palm Civets,NA,Common palm civet,Carnivore,Indonesia,0.79715833 S,113.919775 E
Hanya & Bernard 2012,2012,"Fallback Foods of Red Leaf Monkeys (Presbytis rubicunda) in Danum Valley, Borneo",25,Maroon leaf monkey,Primate,Malayesia,4.96183889 N,117.68921667 E
Hanya et al 2014,2014,Ecosystem Impacts of Folivory and Frugivory by Japanese Macaques in Two Temperate Forests in Yakushima,25,Japanese macaque,Primate,Japan,30.34459444 N,130.51271389E
Harich 2017,2017,Conflicts of human land-use and conservation areas: The case of Asian elephants in rubber-dominated landscapes of Southeast Asia,NA,Elephant,Herbivore,Thailand,8.86322222 N,99.47878889 E
Harich et al 2016,2016,Seed dispersal potential of Asian elephants,7,Elephant,Herbivore,Thailand,20.36931389 N,100.07598611 E
Harrison 1962,1962,The natural food of some malayan mammals,NA,Common palm civet,Carnivore,Malayesia,NA,NA
Harrison 1962,1962,The natural food of some malayan mammals,NA,Large indian civet,Carnivore,Malayesia,NA,NA
Hasan et al 2018,2018,"GROUP SIZE, COMPOSITION AND CONSERVATION CHALLENGES OF CAPPED LANGUR (TRACHYPITHECUS PILEATUS) IN SATCHARI NATIONAL PARK, BANGLADESH",24,Capped langur,Primate,Bangladesh,24.12464444 N ,91.44458889 E
Hashimoto et al 2003,2003,Five-year study on the autumn food habits of the Asiatic black bear in relation to nut production,24,Asiatic black bear,Carnivore,Japan,35.61274444 N,138.84865278 E
Heydon & Bulloh 1997,1997,Mousedeer Densities in a Tropical Rainforest: The Impact of Selective Logging,18,Greater Mousedeer,Herbivore,Malayesia,4.95685556 N,117.87802778 E
Heydon & Bulloh 1997,1997,Mousedeer Densities in a Tropical Rainforest: The Impact of Selective Logging,18,Javan Mousedeer,Herbivore,Malayesia,4.95685556 N,117.87802778 E
Hirasawa et al 2006,2006,Seasonal food habits of the Raccoon Dog at a Western suburb of Tokyo,12,Raccoon dog,Carnivore,Japan,35.74211944 N,139.25742778 E
Hisano & Deguchi 2017,2017,Reviewing frugivory characteristics of the Japanese marten (Martes melampus),NA,Japanese marten,Carnivore,Oriental region,NA,NA
